ep 84, a_n 100, epsilon 0.535, total_reward -26.58279018671758, step 7929
ep 85, a_n 67, epsilon 0.532, total_reward 6.908711941549942, step 7996
ep 86, a_n 100, epsilon 0.527, total_reward -30.07945500087161, step 8096
ep 87, a_n 100, epsilon 0.522, total_reward -0.07753179673874122, step 8196
ep 88, a_n 100, epsilon 0.518, total_reward 79.39175903500457, step 8296
ep 89, a_n 27, epsilon 0.517, total_reward 69.40487135980415, step 8323
ep 90, a_n 100, epsilon 0.512, total_reward 4.859890690490384, step 8423
ep 91, a_n 100, epsilon 0.508, total_reward 9.808947542669182, step 8523
ep 92, a_n 100, epsilon 0.503, total_reward 11.2735539661774, step 8623
ep 93, a_n 100, epsilon 0.499, total_reward 8.971018618065504, step 8723
ep 94, a_n 100, epsilon 0.494, total_reward -6.549745106643098, step 8823
ep 95, a_n 100, epsilon 0.490, total_reward -15.634941265872524, step 8923
ep 96, a_n 100, epsilon 0.486, total_reward 12.873507772794948, step 9023
ep 97, a_n 63, epsilon 0.483, total_reward 1.4269214360122273, step 9086
ep 98, a_n 100, epsilon 0.479, total_reward -0.6005894914019729, step 9186
ep 99, a_n 100, epsilon 0.475, total_reward 19.3204676935746, step 9286
ep 100, a_n 100, epsilon 0.470, total_reward 2.4610485410410434, step 9386
ep 101, a_n 83, epsilon 0.467, total_reward 39.45942481372484, step 9469
ep 102, a_n 38, epsilon 0.466, total_reward -4.080090875805968, step 9507
ep 103, a_n 100, epsilon 0.461, total_reward -27.115104920731362, step 9607
ep 104, a_n 84, epsilon 0.458, total_reward 7.070174423678863, step 9691
ep 105, a_n 41, epsilon 0.456, total_reward -11.729371882658066, step 9732
ep 106, a_n 100, epsilon 0.452, total_reward -20.39783698096324, step 9832
ep 107, a_n 75, epsilon 0.449, total_reward -21.250427437930384, step 9907
ep 108, a_n 50, epsilon 0.448, total_reward -21.40302360623251, step 9957
ep 109, a_n 100, epsilon 0.444, total_reward -27.42292862638882, step 10057
ep 110, a_n 100, epsilon 0.440, total_reward -26.657304973613865, step 10157
ep 111, a_n 42, epsilon 0.438, total_reward -11.152984444222065, step 10199
ep 112, a_n 26, epsilon 0.437, total_reward 52.6312705860049, step 10225
ep 113, a_n 59, epsilon 0.435, total_reward 1.4564312819342669, step 10284
ep 114, a_n 66, epsilon 0.432, total_reward -24.36393319528259, step 10350
ep 115, a_n 36, epsilon 0.431, total_reward 26.50988807126658, step 10386
ep 116, a_n 27, epsilon 0.430, total_reward 45.86444079945099, step 10413
ep 117, a_n 100, epsilon 0.426, total_reward -36.01342604379528, step 10513
ep 118, a_n 77, epsilon 0.423, total_reward 16.49055290849746, step 10590
ep 119, a_n 35, epsilon 0.422, total_reward 0.7815192079037168, step 10625
ep 120, a_n 69, epsilon 0.420, total_reward 0.5348242927474234, step 10694
ep 121, a_n 19, epsilon 0.419, total_reward 135.82823784033351, step 10713
ep 122, a_n 22, epsilon 0.418, total_reward 120.54347331164254, step 10735
ep 123, a_n 33, epsilon 0.417, total_reward 9.84372872601045, step 10768
ep 124, a_n 35, epsilon 0.415, total_reward 4.045367367086694, step 10803
ep 125, a_n 51, epsilon 0.414, total_reward -23.6733091280763, step 10854
ep 126, a_n 33, epsilon 0.412, total_reward 7.71192570710188, step 10887
ep 127, a_n 43, epsilon 0.411, total_reward -15.14421529197363, step 10930
ep 128, a_n 32, epsilon 0.410, total_reward 13.97636474657076, step 10962
